                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.3144,                 1.2723,                 1.3278,                0.59234,                0.33977,                0.41412,                0.16237,                 2.2877,                 1.2324,                 1.3116,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2993,                 1.2574,                 1.3154,                 0.5968,                0.33986,                 0.4156,                0.16261,                 2.2933,                 1.2295,                 1.3158,               0.001109,               0.001109,               0.001109
                     47,                 2.3115,                 1.2504,                 1.3111,                0.59913,                0.33871,                0.41612,                0.16397,                 2.2912,                 1.2038,                 1.3124,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.3096,                 1.2428,                  1.314,                0.58698,                0.33774,                0.41245,                0.15917,                 2.3159,                 1.2214,                 1.3157,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.2847,                  1.228,                 1.3146,                0.61009,                0.34693,                0.42344,                0.16667,                 2.2864,                  1.193,                 1.3072,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2875,                 1.2488,                 1.3129,                0.59159,                0.33576,                0.41125,                0.16221,                 2.2921,                 1.2236,                 1.3131,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.2862,                 1.2492,                 1.3168,                0.60823,                0.33745,                 0.4185,                0.16661,                 2.2808,                 1.2067,                 1.3093,                0.00101,                0.00101,                0.00101
                     52,                  2.294,                  1.229,                 1.3136,                0.61263,                0.34342,                0.42338,                0.16755,                 2.2742,                 1.1896,                 1.3065,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.2693,                 1.2201,                 1.3092,                0.62618,                0.34503,                0.42807,                0.17076,                 2.2645,                 1.1736,                 1.3075,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.2889,                 1.2344,                 1.3069,                 0.6145,                0.34499,                0.42554,                0.16905,                 2.2587,                 1.1799,                 1.3028,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2714,                 1.2223,                 1.3124,                0.61419,                0.34237,                0.42471,                0.16949,                 2.2694,                 1.1852,                 1.3033,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.2621,                 1.2041,                 1.3064,                0.62026,                0.35078,                0.43216,                0.17308,                  2.253,                 1.1605,                 1.2988,               0.000911,               0.000911,               0.000911
                     57,                 2.2629,                 1.2065,                 1.2996,                0.60379,                0.34415,                0.42461,                0.16954,                  2.256,                 1.1723,                 1.2984,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.2633,                 1.2004,                  1.297,                0.61124,                0.35021,                 0.4302,                 0.1699,                 2.2601,                 1.1629,                 1.3034,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.2546,                 1.2051,                 1.3032,                0.61775,                0.34785,                0.42978,                0.17284,                 2.2481,                 1.1635,                 1.3018,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.2541,                 1.1942,                 1.2906,                0.61372,                0.35289,                0.43052,                 0.1723,                 2.2478,                 1.1549,                 1.2986,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.2538,                 1.1875,                  1.298,                0.62447,                0.35005,                0.43194,                 0.1735,                 2.2465,                 1.1568,                 1.2978,               0.000812,               0.000812,               0.000812
                     62,                  2.249,                 1.1862,                  1.289,                0.62325,                0.35283,                0.43422,                0.17485,                 2.2401,                 1.1501,                 1.2983,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.2447,                 1.1819,                 1.2898,                0.62445,                0.35431,                0.43541,                0.17551,                 2.2361,                 1.1445,                 1.2939,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.2296,                 1.1679,                 1.2942,                 0.6155,                0.35139,                0.43362,                0.17515,                 2.2329,                 1.1548,                 1.2946,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.2397,                 1.1825,                 1.2928,                0.64166,                0.35305,                0.43922,                0.17649,                 2.2389,                 1.1366,                 1.2975,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.2274,                 1.1822,                 1.2955,                0.62548,                0.35203,                0.43512,                0.17651,                 2.2327,                 1.1356,                 1.2931,               0.000713,               0.000713,               0.000713
                     67,                 2.2294,                 1.1759,                 1.2925,                0.62554,                0.35695,                0.44034,                0.17912,                 2.2191,                 1.1276,                 1.2892,              0.0006932,              0.0006932,              0.0006932
