                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1471,                  0.723,                0.88298,                0.53069,                0.42042,                0.43426,                0.26367,                 1.1611,                0.80493,                0.88568,               0.005446,               0.005446,               0.005446
                     49,                 1.1346,                0.71393,                0.88077,                0.54868,                0.41723,                 0.4338,                0.26294,                 1.1644,                0.80316,                0.88632,               0.005347,               0.005347,               0.005347
                     50,                 1.1372,                0.70925,                0.88076,                0.55009,                0.41809,                0.43851,                0.26689,                 1.1634,                0.80614,                0.88686,               0.005248,               0.005248,               0.005248
                     51,                 1.1368,                0.71093,                0.87847,                0.55434,                 0.4139,                0.43876,                0.26559,                 1.1625,                0.80487,                0.88455,               0.005149,               0.005149,               0.005149
                     52,                 1.1301,                0.70342,                0.88088,                0.54579,                0.41979,                0.43959,                0.26932,                  1.156,                0.80332,                0.88466,                0.00505,                0.00505,                0.00505
                     53,                 1.1352,                0.70723,                0.88024,                 0.5455,                0.42304,                0.43583,                0.26546,                 1.1568,                 0.8065,                0.88327,               0.004951,               0.004951,               0.004951
                     54,                 1.1321,                0.70209,                0.87887,                0.54141,                0.42359,                0.43979,                0.26996,                 1.1557,                0.79629,                0.88329,               0.004852,               0.004852,               0.004852
                     55,                  1.117,                0.68873,                0.87756,                0.53838,                  0.424,                0.43751,                0.26622,                 1.1574,                0.80353,                0.88459,               0.004753,               0.004753,               0.004753
                     56,                 1.1179,                0.68588,                0.87586,                0.54429,                0.42077,                0.43883,                0.26837,                 1.1615,                0.80585,                0.88517,               0.004654,               0.004654,               0.004654
                     57,                 1.1192,                0.68796,                0.87556,                0.54856,                0.42115,                0.44232,                 0.2699,                 1.1573,                 0.7997,                0.88347,               0.004555,               0.004555,               0.004555
                     58,                  1.115,                 0.6821,                0.87658,                0.54208,                 0.4288,                0.44352,                0.26975,                 1.1513,                0.79487,                0.88362,               0.004456,               0.004456,               0.004456
                     59,                 1.1056,                 0.6752,                0.87467,                0.54141,                0.42537,                0.44151,                0.26894,                 1.1575,                0.80115,                0.88558,               0.004357,               0.004357,               0.004357
                     60,                 1.1104,                0.67378,                0.87583,                0.54775,                  0.421,                0.44199,                0.26838,                 1.1551,                0.79987,                0.88408,               0.004258,               0.004258,               0.004258
                     61,                 1.1097,                 0.6722,                0.87376,                0.54362,                0.42496,                0.44473,                0.27233,                  1.153,                0.79583,                0.88306,               0.004159,               0.004159,               0.004159
                     62,                 1.1012,                0.66419,                0.87389,                0.54857,                0.43256,                0.44412,                0.27208,                 1.1484,                0.79624,                 0.8819,                0.00406,                0.00406,                0.00406
                     63,                 1.1123,                0.67141,                0.87444,                0.55425,                0.42244,                0.44145,                0.27019,                 1.1456,                0.79928,                0.88172,               0.003961,               0.003961,               0.003961
                     64,                 1.0991,                0.66199,                0.87359,                0.55979,                0.42457,                0.44565,                0.27253,                 1.1483,                0.79895,                0.88243,               0.003862,               0.003862,               0.003862
                     65,                 1.0942,                0.65599,                0.87269,                 0.5608,                0.42257,                0.44842,                0.27433,                 1.1469,                0.79772,                0.88197,               0.003763,               0.003763,               0.003763
                     66,                 1.0954,                0.65511,                0.87093,                0.55927,                0.42368,                0.44677,                 0.2735,                 1.1488,                0.79474,                0.88242,               0.003664,               0.003664,               0.003664
                     67,                 1.0959,                0.65344,                0.86995,                0.55856,                 0.4255,                0.44574,                0.27246,                 1.1506,                0.79724,                0.88375,               0.003565,               0.003565,               0.003565
                     68,                 1.0916,                0.64715,                0.87058,                0.54413,                0.42816,                0.44518,                0.27176,                 1.1499,                0.79963,                 0.8833,               0.003466,               0.003466,               0.003466
                     69,                 1.0793,                0.64127,                0.87035,                0.55089,                0.42689,                0.44677,                0.27228,                 1.1511,                0.79792,                 0.8838,               0.003367,               0.003367,               0.003367
                     70,                 1.0825,                0.64053,                0.86927,                0.55043,                0.42344,                0.44411,                0.27048,                 1.1516,                0.80456,                0.88363,               0.003268,               0.003268,               0.003268
                     71,                 1.0834,                0.64089,                0.86716,                0.54022,                0.43158,                0.44529,                0.27162,                 1.1536,                0.80452,                0.88504,               0.003169,               0.003169,               0.003169
                     72,                 1.0777,                0.63293,                0.86731,                 0.5589,                0.42349,                0.44725,                0.27334,                 1.1502,                0.79975,                 0.8852,                0.00307,                0.00307,                0.00307
                     73,                 1.0735,                0.62992,                0.86683,                0.53659,                0.43476,                 0.4463,                0.27238,                 1.1524,                0.80376,                0.88587,               0.002971,               0.002971,               0.002971
                     74,                 1.0758,                0.62936,                0.86777,                0.54418,                0.43749,                0.44597,                0.27173,                 1.1521,                0.80708,                0.88481,               0.002872,               0.002872,               0.002872
                     75,                 1.0669,                0.62266,                0.86597,                0.55662,                0.42277,                0.44491,                 0.2716,                 1.1511,                0.81155,                0.88386,               0.002773,               0.002773,               0.002773
                     76,                 1.0711,                0.62482,                0.86608,                0.54391,                0.42832,                0.44523,                0.27087,                 1.1546,                0.80742,                0.88499,               0.002674,               0.002674,               0.002674
                     77,                 1.0716,                0.62057,                0.86531,                0.55086,                0.43156,                 0.4469,                0.27227,                 1.1494,                0.80516,                0.88315,               0.002575,               0.002575,               0.002575
