                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.8923,                 1.0073,                0.88974,                0.69831,                0.48894,                0.55424,                0.24681,                 1.8877,                0.99416,                0.88158,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.8706,                  1.001,                0.89157,                0.70566,                0.49009,                0.55627,                0.24682,                  1.886,                  1.003,                0.88073,               0.000713,               0.000713,               0.000713
                     54,                 1.8885,                  1.011,                0.89187,                 0.6988,                0.49659,                0.56038,                 0.2497,                 1.8804,                0.98755,                0.88037,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.8787,                 1.0013,                0.88837,                0.69565,                0.49653,                0.55762,                0.24643,                 1.8754,                 1.0015,                0.87879,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.8789,                 1.0022,                0.88785,                0.70141,                0.49538,                0.55915,                 0.2493,                 1.8753,                0.99999,                0.87934,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.8651,                 1.0017,                0.88435,                0.70155,                0.49727,                0.56335,                  0.252,                 1.8691,                0.98945,                0.87793,               0.000614,               0.000614,               0.000614
                     58,                 1.8623,                0.98952,                0.89073,                 0.7001,                0.49689,                0.55972,                0.24876,                 1.8682,                0.99811,                 0.8784,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.8635,                0.98737,                0.88566,                0.69814,                0.50315,                0.56419,                0.25102,                 1.8706,                0.99024,                0.87796,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.8486,                0.97943,                0.88603,                0.70989,                0.49696,                0.56208,                0.24986,                 1.8674,                0.99898,                0.87779,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.8258,                0.96704,                0.88453,                0.70617,                0.49636,                0.56148,                0.25039,                 1.8729,                0.99584,                0.87977,               0.000515,               0.000515,               0.000515
                     62,                  1.856,                0.97985,                0.88845,                0.70565,                0.49832,                0.56369,                0.25167,                  1.864,                0.99209,                0.87725,             0.00049025,             0.00049025,             0.00049025
                     63,                  1.836,                0.97146,                0.88215,                0.71875,                0.49779,                0.56724,                0.25393,                 1.8623,                0.98024,                0.87603,              0.0004655,              0.0004655,              0.0004655
                     64,                 1.8389,                  0.982,                0.88084,                0.71099,                0.49981,                0.56891,                0.25456,                 1.8612,                0.98526,                0.87601,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.8166,                0.95381,                0.88072,                0.70605,                0.50068,                0.56818,                0.25383,                 1.8678,                0.99275,                0.87806,               0.000416,               0.000416,               0.000416
                     66,                 1.8301,                0.95894,                0.88194,                0.71079,                0.49989,                0.56832,                0.25386,                 1.8671,                0.98983,                0.87759,             0.00039125,             0.00039125,             0.00039125
                     67,                 1.8247,                 0.9568,                0.88111,                0.70922,                0.50218,                0.57046,                0.25532,                 1.8646,                0.98554,                0.87757,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.8036,                0.94358,                0.87993,                0.70481,                0.50336,                0.56891,                0.25583,                 1.8544,                0.97962,                0.87634,             0.00034175,             0.00034175,             0.00034175
                     69,                 1.8023,                0.94532,                0.87715,                0.71531,                0.49724,                0.56733,                0.25484,                 1.8647,                 0.9816,                0.87768,               0.000317,               0.000317,               0.000317
                     70,                 1.8064,                0.93933,                0.87627,                0.71723,                0.50047,                0.57055,                0.25557,                 1.8622,                0.97632,                0.87683,             0.00029225,             0.00029225,             0.00029225
                     71,                 1.8002,                0.95183,                 0.8864,                0.71426,                0.49839,                0.56714,                0.25286,                  1.873,                0.98506,                0.87763,              0.0002675,              0.0002675,              0.0002675
                     72,                 1.7838,                0.94341,                0.88138,                0.71548,                0.49689,                0.56659,                0.25395,                 1.8666,                0.98815,                0.87781,             0.00024275,             0.00024275,             0.00024275
                     73,                  1.785,                0.93118,                0.88054,                0.72127,                0.49495,                0.56852,                0.25377,                 1.8734,                0.98782,                 0.8785,               0.000218,               0.000218,               0.000218
                     74,                  1.771,                0.91844,                0.88246,                0.71588,                0.49621,                0.56688,                0.25377,                 1.8689,                0.98328,                0.87833,             0.00019325,             0.00019325,             0.00019325
                     75,                  1.756,                0.91227,                0.87781,                0.71933,                0.49882,                0.56829,                0.25475,                 1.8658,                0.98541,                0.87749,              0.0001685,              0.0001685,              0.0001685
                     76,                 1.7628,                0.91701,                0.88071,                0.71461,                0.50018,                0.56729,                0.25445,                 1.8661,                0.98711,                0.87839,             0.00014375,             0.00014375,             0.00014375
                     77,                 1.7501,                0.90565,                0.88026,                0.71042,                 0.5019,                0.56795,                 0.2548,                 1.8639,                0.98143,                0.87857,               0.000119,               0.000119,               0.000119
                     78,                 1.7569,                 0.9106,                0.87612,                0.71023,                0.50641,                0.57024,                0.25588,                 1.8618,                0.98595,                0.87743,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                 1.7475,                0.90576,                0.87817,                0.71382,                0.50519,                0.57274,                0.25688,                 1.8636,                  0.984,                0.87794,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                 1.7464,                0.90129,                  0.875,                0.71736,                0.50276,                0.57124,                0.25611,                 1.8647,                0.98198,                0.87834,              4.475e-05,              4.475e-05,              4.475e-05
